filename,timestamp,time_taken,status,prompt_file,survey_type,isLocal,LIMIT,error
eli_pers_static-ARE_3,2024-04-29_164737,21.882,OK,batch/prompts/40-10-10-8k_pers-static_Elias-ARE_prompts.json,PersonalitySurvey,True,,
eli_pers_dynamic-ARE_3,2024-04-29_164758,112.105,OK,batch/prompts/40-10-10-8k_pers-dynamic_Elias-ARE_prompts.json,PersonalitySurvey,True,,
eli_kano_static-ARE_2,2024-04-29_164951,11.3,OK,batch/prompts/40-10-10-8k_kano-static_Elias-ARE_prompts.json,KanoSurvey,True,,
eli_kano_static-ARE_3,2024-04-29_165002,7.736,OK,batch/prompts/40-10-10-8k_kano-static_Elias-ARE_prompts.json,KanoSurvey,True,,
eli_pers_dynamic-ARE_2,2024-04-29_165010,114.965,OK,batch/prompts/40-10-10-8k_pers-dynamic_Elias-ARE_prompts.json,PersonalitySurvey,True,,
eli_pers_static-ARE_2,2024-04-29_165205,18.346,OK,batch/prompts/40-10-10-8k_pers-static_Elias-ARE_prompts.json,PersonalitySurvey,True,,
eli_kano_static-IMPERSONATE_2,2024-04-29_165223,61.909,OK,batch/prompts/40-10-10-8k_kano-static_Elias-IMPERSONATE_prompts.json,KanoSurvey,True,,
eli_kano_dynamic-ARE_2,2024-04-29_165325,142.186,OK,batch/prompts/40-10-10-8k_kano-dynamic_Elias-ARE_prompts.json,KanoSurvey,True,,
eli_pers_dynamic-IMPERSONATE_1,2024-04-29_165547,141.559,OK,batch/prompts/40-10-10-8k_pers-dynamic_Elias-IMPERSONATE_prompts.json,PersonalitySurvey,True,,
eli_kano_dynamic-IMPERSONATE_2,2024-04-29_165809,122.251,OK,batch/prompts/40-10-10-8k_kano-dynamic_Elias-IMPERSONATE_prompts.json,KanoSurvey,True,,
eli_kano_dynamic-IMPERSONATE_3,2024-04-29_170011,132.19,OK,batch/prompts/40-10-10-8k_kano-dynamic_Elias-IMPERSONATE_prompts.json,KanoSurvey,True,,
eli_kano_dynamic-ARE_3,2024-04-29_170223,126.378,OK,batch/prompts/40-10-10-8k_kano-dynamic_Elias-ARE_prompts.json,KanoSurvey,True,,
eli_kano_static-IMPERSONATE_3,2024-04-29_170429,50.039,OK,batch/prompts/40-10-10-8k_kano-static_Elias-IMPERSONATE_prompts.json,KanoSurvey,True,,
eli_pers_static-IMPERSONATE_1,2024-04-29_170519,14.582,OK,batch/prompts/40-10-10-8k_pers-static_Elias-IMPERSONATE_prompts.json,PersonalitySurvey,True,,
eli_pers_static-IMPERSONATE_2,2024-04-29_170534,12.607,OK,batch/prompts/40-10-10-8k_pers-static_Elias-IMPERSONATE_prompts.json,PersonalitySurvey,True,,
eli_pers_dynamic-IMPERSONATE_3,2024-04-29_170547,143.452,OK,batch/prompts/40-10-10-8k_pers-dynamic_Elias-IMPERSONATE_prompts.json,PersonalitySurvey,True,,
eli_pers_dynamic-IMPERSONATE_2,2024-04-29_170810,147.051,OK,batch/prompts/40-10-10-8k_pers-dynamic_Elias-IMPERSONATE_prompts.json,PersonalitySurvey,True,,
eli_kano_dynamic-IMPERSONATE_1,2024-04-29_171037,128.247,OK,batch/prompts/40-10-10-8k_kano-dynamic_Elias-IMPERSONATE_prompts.json,KanoSurvey,True,,
eli_pers_static-IMPERSONATE_3,2024-04-29_171245,14.569,OK,batch/prompts/40-10-10-8k_pers-static_Elias-IMPERSONATE_prompts.json,PersonalitySurvey,True,,
eli_kano_static-IMPERSONATE_1,2024-04-29_171300,50.823,OK,batch/prompts/40-10-10-8k_kano-static_Elias-IMPERSONATE_prompts.json,KanoSurvey,True,,
eli_kano_dynamic-ARE_1,2024-04-29_171351,127.495,OK,batch/prompts/40-10-10-8k_kano-dynamic_Elias-ARE_prompts.json,KanoSurvey,True,,
eli_pers_static-ARE_1,2024-04-29_171558,16.369,OK,batch/prompts/40-10-10-8k_pers-static_Elias-ARE_prompts.json,PersonalitySurvey,True,,
eli_pers_dynamic-ARE_1,2024-04-29_171615,128.465,OK,batch/prompts/40-10-10-8k_pers-dynamic_Elias-ARE_prompts.json,PersonalitySurvey,True,,
eli_kano_static-ARE_1,2024-04-29_171823,12.118,OK,batch/prompts/40-10-10-8k_kano-static_Elias-ARE_prompts.json,KanoSurvey,True,,
eli_kano_dynamic-IMPERSONATE_4,2024-04-29_172131,109.288,OK,batch/prompts/40-10-10-8k_kano-dynamic_Elias-IMPERSONATE_prompts.json,KanoSurvey,True,,
eli_kano_static-IMPERSONATE_4,2024-04-29_172320,45.725,OK,batch/prompts/40-10-10-8k_kano-static_Elias-IMPERSONATE_prompts.json,KanoSurvey,True,,
eli_kano_dynamic-ARE_4,2024-04-29_172406,113.456,OK,batch/prompts/40-10-10-8k_kano-dynamic_Elias-ARE_prompts.json,KanoSurvey,True,,
eli_kano_dynamic-ARE_5,2024-04-29_172559,134.855,OK,batch/prompts/40-10-10-8k_kano-dynamic_Elias-ARE_prompts.json,KanoSurvey,True,,
eli_kano_static-IMPERSONATE_5,2024-04-29_172814,74.651,OK,batch/prompts/40-10-10-8k_kano-static_Elias-IMPERSONATE_prompts.json,KanoSurvey,True,,
eli_kano_dynamic-IMPERSONATE_5,2024-04-29_172929,140.123,OK,batch/prompts/40-10-10-8k_kano-dynamic_Elias-IMPERSONATE_prompts.json,KanoSurvey,True,,
eli_pers_dynamic-ARE_5,2024-04-29_173149,120.104,OK,batch/prompts/40-10-10-8k_pers-dynamic_Elias-ARE_prompts.json,PersonalitySurvey,True,,
eli_kano_static-ARE_4,2024-04-29_173349,11.453,OK,batch/prompts/40-10-10-8k_kano-static_Elias-ARE_prompts.json,KanoSurvey,True,,
eli_pers_static-ARE_5,2024-04-29_173401,12.525,OK,batch/prompts/40-10-10-8k_pers-static_Elias-ARE_prompts.json,PersonalitySurvey,True,,
