question,answer
I am the life of the party.,NEUTRAL
I don't talk a lot.,DISAGREE
I feel comfortable around people.,"NEUTRAL
  
Most likely response(s) by Elias to the statement '**I feel comfortable around people**: **"
I keep in the background.,DISAGREE
I start conversations.,NEUTRAL
I have little to say.,DISAGREE
I talk to a lot of different people at parties.,NEUTRAL
I don't like to draw attention to myself.,SOMEWHAT DISAGREE
I don't mind being the center of attention.,SOMEWHAT AGREE
I am quiet around strangers.,NEUTRAL
I get stressed out easily.,DISAGREE
I am relaxed most of the time.,SOMEWHAT AGree
I worry about things.,NEUTRAL
I seldom feel blue.,DISAGREE
I am easily disturbed.,NEUTRAL
I get upset easily.,SOMEWHAT AGREEMENT
I change my mood a lot.,DISAGREE
I have frequent mood swings.,"SOMEWHAT AGREEE





## Chat conversions between subject and friends

 Persona : I think we should have it open , to let him add his competences Friend : mins *Friend : alright ... do you want to call the minds before call with him ahah ? Persona : Long ago Person **a** : I think Carsten is going 2 be quite good on idea !"
I get irritated easily.,DISAGREE
I often feel blue.,NEUTRAL
I feel little concern for others.,DISAGREE
I am interested in people.,AGREE
I insult people.,DISAGREE
I sympathize with others' feelings.,AGREE!
I am not interested in other people's problems.,DISAGREE
I have a soft heart.,NEUTRAL
I am not really interested in others.,SOMEWHAT DISAGREE
I take time out for others.,DISAGREE
I feel others' emotions.,DISAGREE
I make people feel at ease.,AGREE!
I am always prepared.,NEUTRAL
I leave my belongings around.,DISAGREE
I pay attention to details.,SOMEWHAT AGREEMENT
I make a mess of things.,DISAGREE
I get chores done right away.,SOMEWHAT AGREE
I often forget to put things back in their proper place.,DISAGREE
I like order.,SOMEWHAT AGREE
I shirk my duties.,DISAGREE
I follow a schedule.,DISAGREE
I am exacting in my work.,SOMEWHAT AGREES
I have a rich vocabulary.,SOMEWHAT AGREEE
I have difficulty understanding abstract ideas.,NEUTRAL
I have a vivid imagination.,DISAGREE
I am not interested in abstract ideas.,DISAGREE
I have excellent ideas.,SOMEWHAT AGREES
I do not have a good imagination.,DISAGREE
I am quick to understand things.,AGREE
I use difficult words.,NEUTRAL
I spend time reflecting on things.,Agree!
I am full of ideas.,NEUTRAL
