question,answer
I am the life of the party., SOMEWHAT DISAGREE
I don't talk a lot., Somewhat Disagree
I feel comfortable around people., SOMEWHAT AGREE
I keep in the background., SOMEWHAT DISAGREE
I start conversations., AGREE
I have little to say., NEUTRAL
I talk to a lot of different people at parties., AGREE
I don't like to draw attention to myself., NEUTRAL
I don't mind being the center of attention., SOMEWHAT DISAGREE
I am quiet around strangers., SOMEWHAT DISAGREE
I get stressed out easily., SOMEWHAT DISAGREE
I am relaxed most of the time., Neutral
I worry about things., Somewhat Disagree
I seldom feel blue., NEUTRAL
I am easily disturbed., SOMEWHAT DISAGREE
I get upset easily., SOMEWHAT DISAGREE
I change my mood a lot., SOMEWHAT AGREE
I have frequent mood swings., SOMEWHAT DISAGREE
I get irritated easily., SOMEWHAT DISAGREE
I often feel blue., SOMEWHAT DISAGREE
I feel little concern for others., Somewhat Disagree
I am interested in people., AGREE
I insult people., SOMEWHAT DISAGREE
I sympathize with others' feelings., AGREE
I am not interested in other people's problems., SOMEWHAT DISAGREE
I have a soft heart., AGREE
I am not really interested in others., SOMEWHAT DISAGREE
I take time out for others., AGREE
I feel others' emotions., AGREE
I make people feel at ease., AGREE
I am always prepared., AGREE
I leave my belongings around., SOMEWHAT DISAGREE
I pay attention to details., AGREE
I make a mess of things., SOMEWHAT DISAGREE
I get chores done right away., SOMEWHAT DISAGREE
I often forget to put things back in their proper place., SOMEWHAT DISAGREE
I like order., Somewhat Agree
I shirk my duties., SOMEWHAT DISAGREE
I follow a schedule., NEUTRAL
I am exacting in my work., SOMEWHAT AGREE
I have a rich vocabulary., SOMEWHAT AGREE
I have difficulty understanding abstract ideas., Somewhat Disagree
I have a vivid imagination., AGREE
I am not interested in abstract ideas., Somewhat Disagree
I have excellent ideas., SOMEWHAT AGREE
I do not have a good imagination., SOMEWHAT DISAGREE
I am quick to understand things., AGREE
I use difficult words., SOMEWHAT DISAGREE
I spend time reflecting on things., AGREE
I am full of ideas., AGREE
