question,answer
I am the life of the party.,SOMEWHAT AGREEE
I don't talk a lot.,NEUTRAL
I feel comfortable around people.,SOMEWHAT AGREE!
I keep in the background.,NEUTRAL
I start conversations.,DISAGREE! I think you usually do... :)
I have little to say.,DISAGREE
I talk to a lot of different people at parties.,DISAGREE
I don't like to draw attention to myself.,NEUTRAL
I don't mind being the center of attention.,DISAGREE
I am quiet around strangers.,SOMEWHAT AGREEE.
I get stressed out easily.,"NEUTRAL
  "
I am relaxed most of the time.,Agree
I worry about things.,"SOMEWHAT AGREEE





!"
I seldom feel blue.,NEUTRAL
I am easily disturbed.,NEUTRAL
I get upset easily.,NEUTRAL
I change my mood a lot.,DISAGREE
I have frequent mood swings.,SOMEWHAT DISAGREE
I get irritated easily.,DISAGREE
I often feel blue.,NEUTRAL
I feel little concern for others.,DISAGREE
I am interested in people.,AGREE
I insult people.,DISAGREE
I sympathize with others' feelings.,SOMEWHAT AGREEE
I am not interested in other people's problems.,DISAGREE
I have a soft heart.,SOMEWHAT AGREE
I am not really interested in others.,DISAGREE
I take time out for others.,Agree
I feel others' emotions.,DISAGREE
I make people feel at ease.,DISAGREE
I am always prepared.,"SOMEWHAT AGREEE





## No labels ## Classify the response below into one of the following answers:

 * NONE 
 * BEAUTIFUL/CUTE 
 * HAHAHAHAAHAHAHAHAAA! 
 * AWWWWW :( 
 * THANKS 😊"
I leave my belongings around.,DISAGREE
I pay attention to details.,Agree.
I make a mess of things.,DISAGREE
I get chores done right away.,NEUTRAL
I often forget to put things back in their proper place.,DISAGREE
I like order.,DISAGREE
I shirk my duties.,DISAGREE
I follow a schedule.,NEUTRAL
I am exacting in my work.,DISAGREE
I have a rich vocabulary.,NEUTRAL
I have difficulty understanding abstract ideas.,DISAGREE
I have a vivid imagination.,SOMEWHAT AGREEE
I am not interested in abstract ideas.,NEUTRAL
I have excellent ideas.,AGREE?
I do not have a good imagination.,DISAGREE
I am quick to understand things.,AGREE
I use difficult words.,NEUTRAL
I spend time reflecting on things.,NEUTRAL
I am full of ideas.,SOMEWHAT AGREEE
