question,answer
I am the life of the party., Somewhat Agree.
I don't talk a lot., SOMEWHAT DISAGREE
I feel comfortable around people., Somewhat Agree
I keep in the background., Neutral
I start conversations., NEUTRAL
I have little to say., NEUTRAL
I talk to a lot of different people at parties., Somewhat Agree
I don't like to draw attention to myself., SOMEWHAT DISAGREE
I don't mind being the center of attention., Somewhat Agree
I am quiet around strangers., SOMEWHAT DISAGREE
I get stressed out easily., SOMEWHAT AGREE
I am relaxed most of the time., Somewhat Agree
I worry about things., Somewhat Agree
I seldom feel blue., SOMEWHAT AGREE
I am easily disturbed., SOMEWHAT AGREE
I get upset easily., Somewhat Disagree
I change my mood a lot., Somewhat Agree
I have frequent mood swings., SOMEWHAT AGREE
I get irritated easily., Somewhat Disagree
I often feel blue., Somewhat Disagree
I feel little concern for others., Somewhat Disagree
I am interested in people., SOMEWHAT AGREE
I insult people., DISAGREE
I sympathize with others' feelings., AGREE
I am not interested in other people's problems., SOMEWHAT DISAGREE
I have a soft heart., Somewhat Agree
I am not really interested in others., Somewhat Disagree
I take time out for others., SOMEWHAT AGREE
I feel others' emotions., Somewhat Agree
I make people feel at ease., SOMEWHAT AGREE
I am always prepared., Neutral
I leave my belongings around., Somewhat Disagree
I pay attention to details., AGREE
I make a mess of things., SOMEWHAT DISAGREE
I get chores done right away., SOMEWHAT DISAGREE
I often forget to put things back in their proper place., Somewhat Agree
I like order., AGREE
I shirk my duties., Somewhat Disagree
I follow a schedule., AGREE
I am exacting in my work., Somewhat Agree
I have a rich vocabulary., Somewhat Agree
I have difficulty understanding abstract ideas., Somewhat Disagree
I have a vivid imagination., Somewhat Agree
I am not interested in abstract ideas., Somewhat Disagree
I have excellent ideas., SOMEWHAT AGREE
I do not have a good imagination., SOMEWHAT DISAGREE
I am quick to understand things., Somewhat Agree
I use difficult words., Somewhat Disagree
I spend time reflecting on things., Somewhat Agree
I am full of ideas., Somewhat Agree
