question,answer
I am the life of the party., Somewhat Agree
I don't talk a lot., Somewhat agree
I feel comfortable around people., Somewhat Agree
I keep in the background., The persona chooses: Somewhat Agree
I start conversations., Somewhat Agree
I have little to say., The persona chooses: Somewhat Agree
I talk to a lot of different people at parties., The persona chooses: Somewhat Agree
I don't like to draw attention to myself., Somewhat Agree
I don't mind being the center of attention., The persona chooses: SOMEWHAT DISAGREE
I am quiet around strangers., Somewhat Agree
I get stressed out easily., Somewhat Agree
I am relaxed most of the time., The persona chooses: NEUTRAL
I worry about things., Somewhat Agree
I seldom feel blue., The persona chooses: Somewhat Disagree
I am easily disturbed., Somewhat Agree
I get upset easily., The persona chooses: SOMEWHAT DISAGREE
I change my mood a lot., Somewhat Agree
I have frequent mood swings., Somewhat Agree
I get irritated easily., Somewhat Agree
I often feel blue., Somewhat Agree
I feel little concern for others., Somewhat Disagree
I am interested in people., AGREE
I insult people., Disagree
I sympathize with others' feelings., The persona chooses: Agree
I am not interested in other people's problems., Somewhat Disagree
I have a soft heart., SOMEWHAT AGREE
I am not really interested in others., Somewhat disagree
I take time out for others., Somewhat Agree
I feel others' emotions., The persona chooses: Somewhat Agree
I make people feel at ease., The persona chooses: Somewhat Agree
I am always prepared., Somewhat Disagree
I leave my belongings around., SOMEWHAT DISAGREE
I pay attention to details., AGREE
I make a mess of things., Somewhat Disagree
I get chores done right away., The persona chooses: SOMEWHAT DISAGREE
I often forget to put things back in their proper place., Somewhat Agree
I like order., AGREE
I shirk my duties., SOMEWHAT DISAGREE
I follow a schedule., Somewhat Agree
I am exacting in my work., AGREE
I have a rich vocabulary., Somewhat Agree
I have difficulty understanding abstract ideas., SOMEWHAT DISAGREE
I have a vivid imagination., AGREE
I am not interested in abstract ideas., DISAGREE
I have excellent ideas., The persona chooses: Somewhat Agree
I do not have a good imagination., SOMEWHAT DISAGREE
I am quick to understand things., AGREE
I use difficult words., SOMEWHAT DISAGREE
I spend time reflecting on things., Somewhat Agree
I am full of ideas., Somewhat Agree
