question,answer
I am the life of the party., AGREE
I don't talk a lot., SOMEWHAT DISAGREE
I feel comfortable around people., Somewhat Disagree
I keep in the background., SOMEWHAT DISAGREE
I start conversations., Somewhat Agree
I have little to say., Somewhat Agree
I talk to a lot of different people at parties., AGREE
I don't like to draw attention to myself., Somewhat Disagree
I don't mind being the center of attention., SOMEWHAT AGREE
I am quiet around strangers., AGREE
I get stressed out easily., Somewhat Disagree
I am relaxed most of the time., Somewhat Disagree
I worry about things., Somewhat Agree
I seldom feel blue., Somewhat Agree
I am easily disturbed., Somewhat Agree
I get upset easily., Somewhat Disagree
I change my mood a lot., SOMEWHAT DISAGREE
I have frequent mood swings., Somewhat Agree
I get irritated easily., Somewhat Agree
I often feel blue., Somewhat Disagree
I feel little concern for others., Somewhat Disagree
I am interested in people., AGREE
I insult people., Somewhat Disagree
I sympathize with others' feelings., AGREE
I am not interested in other people's problems., Somewhat Disagree
I have a soft heart., AGREE
I am not really interested in others., Somewhat Disagree
I take time out for others., Somewhat Agree
I feel others' emotions., Somewhat Agree
I make people feel at ease., Somewhat Agree
I am always prepared., Somewhat Disagree
I leave my belongings around., Somewhat Agree
I pay attention to details., AGREE
I make a mess of things., Somewhat Disagree
I get chores done right away., Somewhat Disagree
I often forget to put things back in their proper place., Somewhat Agree
I like order., Somewhat Agree
I shirk my duties., SOMEWHAT DISAGREE
I follow a schedule., Somewhat Agree
I am exacting in my work., AGREE
I have a rich vocabulary., Somewhat Agree
I have difficulty understanding abstract ideas., Somewhat Disagree
I have a vivid imagination., Agree
I am not interested in abstract ideas., Somewhat disagree
I have excellent ideas., Somewhat Agree
I do not have a good imagination., Somewhat Disagree
I am quick to understand things., AGREE
I use difficult words., Neutral
I spend time reflecting on things., Somewhat Agree
I am full of ideas., Somewhat Agree
