question,answer
I am the life of the party., AGREE
I don't talk a lot., Somewhat Disagree
I feel comfortable around people., Somewhat Disagree
I keep in the background., Somewhat Disagree
I start conversations., Somewhat Agree
I have little to say., Somewhat Agree
I talk to a lot of different people at parties., Agree
I don't like to draw attention to myself., Somewhat Disagree
I don't mind being the center of attention., AGREE
I am quiet around strangers., AGREE
I get stressed out easily., Neutral
I am relaxed most of the time., SOMEWHAT DISAGREE
I worry about things., SOMEWHAT DISAGREE
I seldom feel blue., Somewhat Agree
I am easily disturbed., Somewhat Agree
I get upset easily., Somewhat Disagree
I change my mood a lot., Somewhat Agree
I have frequent mood swings., Somewhat Agree
I get irritated easily., Somewhat Disagree
I often feel blue., Somewhat Disagree
I feel little concern for others., Somewhat Disagree
I am interested in people., AGREE
I insult people., Somewhat Disagree
I sympathize with others' feelings., AGREE
I am not interested in other people's problems., SOMEWHAT DISAGREE
I have a soft heart., Somewhat Agree
I am not really interested in others., Somewhat Disagree
I take time out for others., Somewhat Agree
I feel others' emotions., Somewhat Agree
I make people feel at ease., AGREE
I am always prepared., Somewhat Disagree
I leave my belongings around., Somewhat Agree
I pay attention to details., Agree
I make a mess of things., Somewhat Disagree
I get chores done right away., Somewhat Disagree
I often forget to put things back in their proper place., Somewhat Agree
I like order., Agree
I shirk my duties., Somewhat Disagree
I follow a schedule., Somewhat Agree
I am exacting in my work., AGREE
I have a rich vocabulary., Somewhat Agree
I have difficulty understanding abstract ideas., Somewhat Disagree
I have a vivid imagination., AGREE
I am not interested in abstract ideas., The persona chooses: DISAGREE
I have excellent ideas., Somewhat Agree
I do not have a good imagination., Somewhat Disagree
I am quick to understand things., AGREE
I use difficult words., Somewhat Disagree
I spend time reflecting on things., AGREE
I am full of ideas., Somewhat Agree
