question,answer
I am the life of the party., Somewhat Disagree
I don't talk a lot., SOMEWHAT DISAGREE
I feel comfortable around people., The persona chooses: Somewhat Agree
I keep in the background., Somewhat Disagree
I start conversations., SOMEWHAT AGREE
I have little to say., The persona chooses: Somewhat Agree
I talk to a lot of different people at parties., Somewhat Agree
I don't like to draw attention to myself., Somewhat Disagree
I don't mind being the center of attention., Somewhat Agree
I am quiet around strangers., SOMEWHAT DISAGREE
I get stressed out easily., Somewhat Agree
I am relaxed most of the time., Somewhat agree
I worry about things., Somewhat Agree
I seldom feel blue., Somewhat Agree
I am easily disturbed., Somewhat Agree
I get upset easily., Somewhat Disagree
I change my mood a lot., Somewhat Agree
I have frequent mood swings., Somewhat Agree
I get irritated easily., Somewhat Agree
I often feel blue., Somewhat Agree
I feel little concern for others., SOMEWHAT DISAGREE
I am interested in people., AGREE
I insult people., SOMEWHAT DISAGREE
I sympathize with others' feelings., AGREE
I am not interested in other people's problems., SOMEWHAT DISAGREE
I have a soft heart., AGREE
I am not really interested in others., DISAGREE
I take time out for others., The persona chooses: Somewhat Agree
I feel others' emotions., Somewhat Agree
I make people feel at ease., Somewhat Agree
I am always prepared., Somewhat Disagree
I leave my belongings around., SOMEWHAT DISAGREE
I pay attention to details., The persona chooses: SOMEWHAT DISAGREE
I make a mess of things., The persona chooses: Somewhat Agree
I get chores done right away., Somewhat Disagree
I often forget to put things back in their proper place., Somewhat Agree
I like order., AGREE
I shirk my duties., Somewhat Disagree
I follow a schedule., Somewhat Agree
I am exacting in my work., AGREE
I have a rich vocabulary., Somewhat Agree
I have difficulty understanding abstract ideas., Somewhat Disagree
I have a vivid imagination., AGREE
I am not interested in abstract ideas., The persona chooses: Disagree
I have excellent ideas., Somewhat Agree
I do not have a good imagination., SOMEWHAT DISAGREE
I am quick to understand things., AGREE
I use difficult words., The persona chooses: Somewhat Agree
I spend time reflecting on things., AGREE
I am full of ideas., AGREE
