question,answer
I am the life of the party., Somewhat Agree
I don't talk a lot., SOMEWHAT AGREE
I feel comfortable around people., Somewhat Agree
I keep in the background., NEUTRAL
I start conversations., SOMEWHAT AGREE
I have little to say., Neutral
I talk to a lot of different people at parties., AGREE
I don't like to draw attention to myself., Somewhat Agree
I don't mind being the center of attention., AGREE
I am quiet around strangers., Somewhat Agree
I get stressed out easily., SOMEWHAT AGREE
I am relaxed most of the time., Somewhat Agree
I worry about things., Somewhat Agree
I seldom feel blue., Somewhat Agree
I am easily disturbed., Somewhat Agree
I get upset easily., Somewhat Disagree
I change my mood a lot., Somewhat Agree
I have frequent mood swings., SOMEWHAT AGREE
I get irritated easily., Somewhat Disagree
I often feel blue., Somewhat Disagree
I feel little concern for others., SOMEWHAT DISAGREE
I am interested in people., AGREE
I insult people., DISAGREE
I sympathize with others' feelings., AGREE
I am not interested in other people's problems., SOMEWHAT AGREE
I have a soft heart., Somewhat Agree
I am not really interested in others., Somewhat Disagree
I take time out for others., AGREE
I feel others' emotions., SOMEWHAT AGREE
I make people feel at ease., Agree
I am always prepared., Somewhat Disagree
I leave my belongings around., SOMEWHAT AGREE
I pay attention to details., The persona chooses: Agree.
I make a mess of things., Somewhat Agree
I get chores done right away., Somewhat Agree
I often forget to put things back in their proper place., Somewhat Agree
I like order., The persona chooses: AGREE
I shirk my duties., Somewhat Disagree
I follow a schedule., Somewhat Agree
I am exacting in my work., The persona chooses: AGREE.
I have a rich vocabulary., Somewhat Agree
I have difficulty understanding abstract ideas., Somewhat Disagree
I have a vivid imagination., AGREE
I am not interested in abstract ideas., DISAGREE
I have excellent ideas., AGREE
I do not have a good imagination., SOMEWHAT AGREE
I am quick to understand things., AGREE
I use difficult words., SOMEWHAT AGREE
I spend time reflecting on things., The persona chooses: Agree
I am full of ideas., AGREE
