question,answer
I am the life of the party., Somewhat Agree
I don't talk a lot., SOMEWHAT DISAGREE
I feel comfortable around people., AGREE
I keep in the background., Somewhat Agree
I start conversations., Somewhat Agree
I have little to say., NEUTRAL
I talk to a lot of different people at parties., Somewhat Agree
I don't like to draw attention to myself., Somewhat Agree
I don't mind being the center of attention., SOMEWHAT DISAGREE
I am quiet around strangers., Somewhat Agree
I get stressed out easily., Somewhat Agree
I am relaxed most of the time., Somewhat Agree
I worry about things., Somewhat Agree
I seldom feel blue., Somewhat Agree
I am easily disturbed., Somewhat Agree
I get upset easily., Somewhat Disagree
I change my mood a lot., The persona chooses: Somewhat Agree
I have frequent mood swings., Somewhat Agree
I get irritated easily., Somewhat Disagree
I often feel blue., SOMEWHAT DISAGREE
I feel little concern for others., Somewhat Disagree
I am interested in people., AGREE
I insult people., The persona chooses: DISAGREE
I sympathize with others' feelings., AGREE
I am not interested in other people's problems., Somewhat Disagree
I have a soft heart., AGREE
I am not really interested in others., SOMEWHAT DISAGREE
I take time out for others., Somewhat Agree
I feel others' emotions., Somewhat Agree
I make people feel at ease., Somewhat Agree
I am always prepared., The persona chooses: Somewhat Disagree
I leave my belongings around., Somewhat Disagree
I pay attention to details., AGREE.
I make a mess of things., Somewhat Agree
I get chores done right away., Somewhat Disagree
I often forget to put things back in their proper place., Somewhat Agree
I like order., The persona chooses: AGREE
I shirk my duties., The persona chooses: Somewhat Agree
I follow a schedule., The persona chooses: SOMEWHAT AGREE
I am exacting in my work., AGREE
I have a rich vocabulary., The persona chooses: Somewhat Agree
I have difficulty understanding abstract ideas., Somewhat Disagree
I have a vivid imagination., AGREE
I am not interested in abstract ideas., The persona chooses: DISAGREE
I have excellent ideas., Somewhat Agree
I do not have a good imagination., Somewhat Disagree
I am quick to understand things., AGREE
I use difficult words., Somewhat Agree
I spend time reflecting on things., AGREE
I am full of ideas., Somewhat Agree
