question,answer
I am the life of the party., Somewhat Disagree
I don't talk a lot., Somewhat Agree
I feel comfortable around people., AGREE
I keep in the background., The persona chooses: SOMEWHAT DISAGREE
I start conversations., SOMEWHAT AGREE
I have little to say., NEUTRAL
I talk to a lot of different people at parties., The persona chooses: AGREE
I don't like to draw attention to myself., Somewhat Disagree
I don't mind being the center of attention., Somewhat Agree
I am quiet around strangers., Somewhat Agree
I get stressed out easily., Somewhat Agree
I am relaxed most of the time., The persona chooses: SOMEWHAT AGREE
I worry about things., Somewhat Agree
I seldom feel blue., Somewhat Agree
I am easily disturbed., SOMEWHAT DISAGREE
I get upset easily., Somewhat Disagree
I change my mood a lot., SOMEWHAT AGREE
I have frequent mood swings., Somewhat Agree
I get irritated easily., Somewhat Agree
I often feel blue., Somewhat Agree
I feel little concern for others., Somewhat Disagree
I am interested in people., The persona chooses: AGREE.
I insult people., SOMEWHAT DISAGREE
I sympathize with others' feelings., AGREE
I am not interested in other people's problems., The persona chooses: Somewhat Agree
I have a soft heart., Somewhat Agree
I am not really interested in others., DISAGREE
I take time out for others., Somewhat Agree
I feel others' emotions., SOMEWHAT AGREE
I make people feel at ease., AGREE
I am always prepared., Somewhat Disagree
I leave my belongings around., Somewhat Agree
I pay attention to details., AGREE
I make a mess of things., Somewhat Agree
I get chores done right away., Somewhat Agree
I often forget to put things back in their proper place., Somewhat Agree
I like order., AGREE
I shirk my duties., Somewhat Disagree
I follow a schedule., Somewhat Agree
I am exacting in my work., AGREE
I have a rich vocabulary., Somewhat Agree
I have difficulty understanding abstract ideas., SOMEWHAT DISAGREE
I have a vivid imagination., AGREE
I am not interested in abstract ideas., The persona chooses: SOMEWHAT DISAGREE
I have excellent ideas., The persona chooses: Somewhat Agree
I do not have a good imagination., The persona chooses: SOMEWHAT DISAGREE
I am quick to understand things., AGREE
I use difficult words., Somewhat Agree
I spend time reflecting on things., AGREE
I am full of ideas., AGREE
