question,answer
I am the life of the party., Somewhat Agree
I don't talk a lot., Somewhat Agree
I feel comfortable around people., Somewhat Agree
I keep in the background., The persona chooses: Somewhat Disagree
I start conversations., Somewhat Agree
I have little to say., Somewhat Disagree
I talk to a lot of different people at parties., Somewhat Agree
I don't like to draw attention to myself., SOMEWHAT DISAGREE
I don't mind being the center of attention., Somewhat Agree
I am quiet around strangers., Somewhat Agree
I get stressed out easily., Somewhat Disagree
I am relaxed most of the time., Somewhat Agree
I worry about things., Somewhat Disagree
I seldom feel blue., Somewhat Disagree
I am easily disturbed., Somewhat Disagree
I get upset easily., Somewhat Disagree
I change my mood a lot., Somewhat Agree
I have frequent mood swings., Somewhat Agree
I get irritated easily., Somewhat Disagree
I often feel blue., Somewhat Agree
I feel little concern for others., Somewhat Disagree
I am interested in people., AGREE
I insult people., SOMEWHAT DISAGREE
I sympathize with others' feelings., AGREE
I am not interested in other people's problems., The persona chooses: Somewhat Disagree
I have a soft heart., Somewhat Agree
I am not really interested in others., Somewhat Disagree
I take time out for others., AGREE
I feel others' emotions., Somewhat Agree
I make people feel at ease., AGREE
I am always prepared., Somewhat Disagree
I leave my belongings around., Somewhat Agree
I pay attention to details., AGREE
I make a mess of things., Somewhat Disagree
I get chores done right away., Somewhat Disagree
I often forget to put things back in their proper place., Somewhat Agree
I like order., AGREE
I shirk my duties., Somewhat Disagree
I follow a schedule., Somewhat Disagree
I am exacting in my work., AGREE
I have a rich vocabulary., Somewhat Agree
I have difficulty understanding abstract ideas., Somewhat Disagree
I have a vivid imagination., Agree
I am not interested in abstract ideas., Somewhat Disagree
I have excellent ideas., Somewhat Agree
I do not have a good imagination., Somewhat Disagree
I am quick to understand things., Somewhat Agree
I use difficult words., Somewhat Disagree
I spend time reflecting on things., Somewhat Agree
I am full of ideas., Somewhat Agree
