question,answer
I am the life of the party., The persona chooses: Somewhat Agree
I don't talk a lot., Somewhat Agree
I feel comfortable around people., The persona chooses: AGREE
I keep in the background., Somewhat Agree
I start conversations., Somewhat Agree
I have little to say., SOMEWHAT DISAGREE
I talk to a lot of different people at parties., AGREE
I don't like to draw attention to myself., Somewhat Agree
I don't mind being the center of attention., Somewhat Agree
I am quiet around strangers., Somewhat Agree
I get stressed out easily., Somewhat Agree
I am relaxed most of the time., Somewhat Agree
I worry about things., Somewhat Agree
I seldom feel blue., The persona chooses: Somewhat Agree
I am easily disturbed., The persona chooses: SOMEWHAT DISAGREE
I get upset easily., SOMEWHAT DISAGREE
I change my mood a lot., Somewhat Agree
I have frequent mood swings., Somewhat Agree
I get irritated easily., SOMEWHAT DISAGREE
I often feel blue., Somewhat Agree
I feel little concern for others., SOMEWHAT DISAGREE
I am interested in people., AGREE
I insult people., Disagree
I sympathize with others' feelings., AGREE
I am not interested in other people's problems., The persona chooses: SOMEWHAT DISAGREE
I have a soft heart., Somewhat Agree
I am not really interested in others., Somewhat Disagree
I take time out for others., Somewhat Agree
I feel others' emotions., Somewhat Agree
I make people feel at ease., AGREE
I am always prepared., Somewhat Agree
I leave my belongings around., Somewhat Agree
I pay attention to details., AGREE
I make a mess of things., Somewhat Agree
I get chores done right away., SOMEWHAT DISAGREE
I often forget to put things back in their proper place., Somewhat Agree
I like order., AGREE
I shirk my duties., The persona chooses: Somewhat Agree
I follow a schedule., The persona chooses: Somewhat Agree
I am exacting in my work., AGREE
I have a rich vocabulary., Somewhat Agree
I have difficulty understanding abstract ideas., Somewhat Agree
I have a vivid imagination., AGREE
I am not interested in abstract ideas., The persona chooses: DISAGREE.
I have excellent ideas., Somewhat Agree
I do not have a good imagination., Somewhat Disagree
I am quick to understand things., AGREE
I use difficult words., Somewhat Agree
I spend time reflecting on things., AGREE
I am full of ideas., The persona chooses: AGREE
