question,answer
I am the life of the party., SOMEWHAT DISAGREE
I don't talk a lot., Somewhat Disagree
I feel comfortable around people., The persona chooses: Somewhat Agree
I keep in the background.," The persona chooses: ""Somewhat Agree"""
I start conversations., Somewhat Agree
I have little to say.," The persona chooses: ""SOMEWHAT DISAGREE"""
I talk to a lot of different people at parties., Somewhat Agree
I don't like to draw attention to myself., Somewhat Agree
I don't mind being the center of attention., SOMEWHAT DISAGREE
I am quiet around strangers., SOMEWHAT DISAGREE
I get stressed out easily., Somewhat Disagree
I am relaxed most of the time., Somewhat Disagree
I worry about things., Somewhat Agree
I seldom feel blue., The persona chooses: Somewhat Agree
I am easily disturbed., Somewhat Agree
I get upset easily., Somewhat Disagree
I change my mood a lot., Somewhat Agree
I have frequent mood swings., Somewhat Agree
I get irritated easily., SOMEWHAT DISAGREE
I often feel blue., Somewhat Agree
I feel little concern for others., Somewhat Disagree
I am interested in people., The persona chooses: SOMEWHAT DISAGREE
I insult people., SOMEWHAT DISAGREE
I sympathize with others' feelings., Somewhat Agree
I am not interested in other people's problems., The persona chooses: Somewhat Disagree
I have a soft heart., SOMEWHAT AGREE
I am not really interested in others., Somewhat Disagree
I take time out for others., SOMEWHAT AGREE
I feel others' emotions., Somewhat Agree
I make people feel at ease., Somewhat Agree
I am always prepared., Somewhat Disagree
I leave my belongings around., Somewhat Disagree
I pay attention to details., Somewhat Agree
I make a mess of things., Somewhat Agree
I get chores done right away., The persona chooses: Somewhat Disagree
I often forget to put things back in their proper place., Somewhat Agree
I like order., Somewhat Agree
I shirk my duties., The persona chooses: Somewhat Agree
I follow a schedule., Somewhat Agree
I am exacting in my work., Somewhat Agree
I have a rich vocabulary., AGREE
I have difficulty understanding abstract ideas., Somewhat Disagree
I have a vivid imagination., AGREE
I am not interested in abstract ideas., Persona chooses: DISAGREE
I have excellent ideas., Persona: Somewhat Agree
I do not have a good imagination., SOMEWHAT DISAGREE
I am quick to understand things., Somewhat Agree
I use difficult words., Somewhat Agree
I spend time reflecting on things., AGREE
I am full of ideas., The persona chooses: AGREE
