question,answer
I am the life of the party., The persona chooses: Somewhat Disagree
I don't talk a lot., SOMEWHAT AGREE
I feel comfortable around people., Somewhat Agree
I keep in the background., SOMEWHAT DISAGREE
I start conversations., SOMEWHAT DISAGREE
I have little to say., The persona chooses: Somewhat Agree
I talk to a lot of different people at parties., The persona chooses: AGREE.
I don't like to draw attention to myself., Somewhat Agree
I don't mind being the center of attention., Somewhat Agree
I am quiet around strangers., SOMEWHAT DISAGREE
I get stressed out easily., Somewhat Agree
I am relaxed most of the time., Somewhat Agree
I worry about things., SOMEWHAT DISAGREE
I seldom feel blue., The persona chooses: Somewhat Agree
I am easily disturbed., Somewhat Agree
I get upset easily., Somewhat Agree
I change my mood a lot., Somewhat Agree
I have frequent mood swings., Somewhat Agree
I get irritated easily., SOMEWHAT DISAGREE
I often feel blue., SOMEWHAT DISAGREE
I feel little concern for others., The persona chooses: Somewhat Disagree
I am interested in people., The persona chooses: AGREE.
I insult people., Somewhat Disagree
I sympathize with others' feelings., AGREE
I am not interested in other people's problems., The persona chooses: DISAGREE
I have a soft heart., The persona chooses: Somewhat Agree
I am not really interested in others., The persona chooses: SOMEWHAT DISAGREE
I take time out for others., SOMEWHAT DISAGREE
I feel others' emotions., Somewhat Agree
I make people feel at ease., Somewhat Agree
I am always prepared., Somewhat Agree
I leave my belongings around., SOMEWHAT DISAGREE
I pay attention to details., SOMEWHAT AGREE
I make a mess of things., Somewhat Agree
I get chores done right away., The persona chooses: NEUTRAL
I often forget to put things back in their proper place., Somewhat Agree
I like order., SOMEWHAT AGREE
I shirk my duties., SOMEWHAT DISAGREE
I follow a schedule., The persona chooses: SOMEWHAT DISAGREE.
I am exacting in my work., AGREE
I have a rich vocabulary., The persona chooses: Somewhat Agree
I have difficulty understanding abstract ideas., The persona chooses: Somewhat Disagree
I have a vivid imagination., AGREE
I am not interested in abstract ideas., DISAGREE
I have excellent ideas., The persona chooses: Somewhat Agree
I do not have a good imagination., The persona chooses: Somewhat Agree
I am quick to understand things., AGREE
I use difficult words., Somewhat Agree
I spend time reflecting on things., Somewhat Agree
I am full of ideas., AGREE
