question,answer
I am the life of the party., Somewhat Agree
I don't talk a lot., Somewhat Agree
I feel comfortable around people., AGREE
I keep in the background., Somewhat Disagree
I start conversations., Somewhat Agree
I have little to say., Neutral
I talk to a lot of different people at parties., AGREE
I don't like to draw attention to myself., Somewhat Agree
I don't mind being the center of attention., Somewhat Agree
I am quiet around strangers., Somewhat Agree
I get stressed out easily., Somewhat Agree
I am relaxed most of the time., Somewhat Agree
I worry about things., Somewhat Disagree
I seldom feel blue., SOMEWHAT DISAGREE
I am easily disturbed., Somewhat Agree
I get upset easily., Somewhat Disagree
I change my mood a lot., Somewhat Agree
I have frequent mood swings., Somewhat Agree
I get irritated easily., Somewhat Disagree
I often feel blue., NEUTRAL
I feel little concern for others., Somewhat Disagree
I am interested in people., Agree
I insult people., Disagree
I sympathize with others' feelings., Somewhat Agree
I am not interested in other people's problems., Somewhat Disagree
I have a soft heart., Somewhat Agree
I am not really interested in others., Somewhat Disagree
I take time out for others., Somewhat Agree
I feel others' emotions., Somewhat Agree
I make people feel at ease., Somewhat Agree
I am always prepared., Somewhat Disagree
I leave my belongings around., Somewhat Agree
I pay attention to details., Somewhat Agree
I make a mess of things., Somewhat Agree
I get chores done right away., SOMEWHAT DISAGREE
I often forget to put things back in their proper place., Somewhat Agree
I like order., Somewhat Agree
I shirk my duties., Somewhat Disagree
I follow a schedule., NEUTRAL
I am exacting in my work., Somewhat Agree
I have a rich vocabulary., Somewhat Agree
I have difficulty understanding abstract ideas., Somewhat Disagree
I have a vivid imagination., Somewhat Agree
I am not interested in abstract ideas., Somewhat Disagree
I have excellent ideas., Somewhat Agree
I do not have a good imagination., Somewhat Disagree
I am quick to understand things., Somewhat Agree
I use difficult words., Somewhat Disagree
I spend time reflecting on things., Somewhat Agree
I am full of ideas., Somewhat Agree
