question,answer
I am the life of the party., NEUTRAL
I don't talk a lot., NEUTRAL
I feel comfortable around people., AGREE
I keep in the background., AGREE
I start conversations., SOMEWHAT AGREE
I have little to say., Neutral
I talk to a lot of different people at parties., AGREE
I don't like to draw attention to myself., NEUTRAL
I don't mind being the center of attention., NEUTRAL
I am quiet around strangers., Somewhat agree
I get stressed out easily., Somewhat agree
I am relaxed most of the time., AGREE
I worry about things., Somewhat agree
I seldom feel blue., Neutral
I am easily disturbed., SOMEWHAT DISAGREE
I get upset easily., SOMEWHAT DISAGREE
I change my mood a lot., SOMEWHAT DISAGREE
I have frequent mood swings., Somewhat Agree
I get irritated easily., SOMEWHAT DISAGREE
I often feel blue., Somewhat disagree
I feel little concern for others., Somewhat Disagree
I am interested in people., AGREE
I insult people., SOMEWHAT DISAGREE
I sympathize with others' feelings., AGREE
I am not interested in other people's problems., DISAGREE
I have a soft heart., SOMEWHAT AGREE
I am not really interested in others., Somewhat disagree
I take time out for others., AGREE
I feel others' emotions., SOMEWHAT AGREE
I make people feel at ease., AGREE
I am always prepared., SOMEWHAT AGREE
I leave my belongings around., Somewhat Disagree
I pay attention to details., AGREE
I make a mess of things., Somewhat Agree
I get chores done right away., NEUTRAL
I often forget to put things back in their proper place., Somewhat Disagree
I like order., SOMEWHAT AGREE
I shirk my duties., DISAGREE
I follow a schedule., SOMEWHAT AGREE
I am exacting in my work., AGREE
I have a rich vocabulary., AGREE
I have difficulty understanding abstract ideas., SOMEWHAT DISAGREE
I have a vivid imagination., AGREE
I am not interested in abstract ideas., Somewhat Disagree
I have excellent ideas., SOMEWHAT AGREE
I do not have a good imagination., Somewhat Disagree
I am quick to understand things., AGREE
I use difficult words., SOMEWHAT DISAGREE
I spend time reflecting on things., AGREE
I am full of ideas., AGREE
