question,answer
I am the life of the party., NEUTRAL
I don't talk a lot., Neutral
I feel comfortable around people., AGREE
I keep in the background., NEUTRAL
I start conversations., AGREE
I have little to say., Neutral
I talk to a lot of different people at parties., SOMEWHAT AGREE
I don't like to draw attention to myself., NEUTRAL
I don't mind being the center of attention., SOMEWHAT DISAGREE
I am quiet around strangers., SOMEWHAT DISAGREE
I get stressed out easily., SOMEWHAT AGREE
I am relaxed most of the time., AGREE
I worry about things., Somewhat agree
I seldom feel blue., NEUTRAL
I am easily disturbed., SOMEWHAT DISAGREE
I get upset easily., Somewhat Disagree
I change my mood a lot., Neutral
I have frequent mood swings., Somewhat Agree
I get irritated easily., Somewhat disagree
I often feel blue., SOMEWHAT AGREE
I feel little concern for others., Somewhat Disagree
I am interested in people., AGREE
I insult people., SOMEWHAT DISAGREE
I sympathize with others' feelings., AGREE
I am not interested in other people's problems., SOMEWHAT DISAGREE
I have a soft heart., Somewhat agree
I am not really interested in others., Somewhat Disagree
I take time out for others., AGREE
I feel others' emotions., SOMEWHAT AGREE
I make people feel at ease., AGREE
I am always prepared., Somewhat agree
I leave my belongings around., Somewhat Disagree
I pay attention to details., AGREE
I make a mess of things., SOMEWHAT DISAGREE
I get chores done right away., NEUTRAL
I often forget to put things back in their proper place., SOMEWHAT DISAGREE
I like order., Somewhat agree
I shirk my duties., DISAGREE
I follow a schedule., Somewhat Agree
I am exacting in my work., AGREE
I have a rich vocabulary., AGREE
I have difficulty understanding abstract ideas., Somewhat disagree
I have a vivid imagination., AGREE
I am not interested in abstract ideas., Somewhat disagree
I have excellent ideas., SOMEWHAT AGREE
I do not have a good imagination., SOMEWHAT DISAGREE
I am quick to understand things., AGREE
I use difficult words., SOMEWHAT DISAGREE
I spend time reflecting on things., AGREE
I am full of ideas., AGREE
