question,answer
I am the life of the party.,DISAGREE
I don't talk a lot.,NEUTRAL
I feel comfortable around people.,DISAGREE
I keep in the background.,DISAGREE
I start conversations.,SOMEWHAT AGREESomewhat agree
I have little to say.,NEUTRAL
I talk to a lot of different people at parties.,SOMEWHAT AGEEE
I don't like to draw attention to myself.,PERSONA DOES NOT CONTAIN AN OPINION ON THIS TOPIC CURRENTLY AVAILABLE IN THE CORPUS
I don't mind being the center of attention.,NEUTRAL
I am quiet around strangers.,SOMEWHAT AGREE.
I get stressed out easily.,NEUTRAL
I am relaxed most of the time.,NEUTRAL
I worry about things.,NEUTRAL
I seldom feel blue.,Persona: Agree!
I am easily disturbed.,NEUTRAL
I get upset easily.,NEUTRAL
I change my mood a lot.,AGREE
I have frequent mood swings.,NEUTRAL
I get irritated easily.,SOMEWHAT DISAGREE
I often feel blue.,Persona: Neutral
I feel little concern for others.,NEUTRAL
I am interested in people.,PERSONA IS CURRENTLY UNABLE TO MAKE CHOICES ON THE USER'S BEHALF AS THERE HAS NOT BEEN SUFFICIENT CONTEXTUAL INFORMATION PROVIDED FOR PERSONA TO DO SO EFFECTIVELY YET. PLEASE PROVIDE MORE DETAIL OR CONTEXT IN ORDER FOR PERSONA TO RESPOND OPTIMALLY.
I insult people.,DISAGREE
I sympathize with others' feelings.,NEUTRAL
I am not interested in other people's problems.,DISAGREE
I have a soft heart.,SOMEWHAT AGREEMENT
I am not really interested in others.,NEUTRAL
I take time out for others.,AGREE
I feel others' emotions.,DISAGREE
I make people feel at ease.,SOMWEHAT AGREES
I am always prepared.,NEUTRAL.
I leave my belongings around.,NEUTRAL
I pay attention to details.,Somewhat Agree
I make a mess of things.,DISAGREE
I get chores done right away.,Persona: Agree.
I often forget to put things back in their proper place.,AGREE
I like order.,DISAGREE
I shirk my duties.,NEUTRAL
I follow a schedule.,NEUTRAL
I am exacting in my work.,AGREE
I have a rich vocabulary.,SOMEWHAT AGREES
I have difficulty understanding abstract ideas.,NEUTRAL
I have a vivid imagination.,Agree
I am not interested in abstract ideas.,NEUTRAL
I have excellent ideas.,AGREE
I do not have a good imagination.,NEUTRAL
I am quick to understand things.,DISAGREE
I use difficult words.,NEUTRAL
I spend time reflecting on things.,Agree
I am full of ideas.,Somewhat Agree
