question,answer
I am the life of the party., Somewhat Disagree
I don't talk a lot., Somewhat Agree
I feel comfortable around people., SOMEWHAT AGREE
I keep in the background., Somewhat Disagree
I start conversations., SOMEWHAT AGREE
I have little to say., Somewhat Agree
I talk to a lot of different people at parties., Somewhat Agree
I don't like to draw attention to myself., Somewhat Disagree
I don't mind being the center of attention., Somewhat Agree
I am quiet around strangers., The persona chooses: SOMEWHAT AGREE.
I get stressed out easily., The persona chooses: SOMEWHAT AGREE.
I am relaxed most of the time., NEUTRAL
I worry about things., SOMEWHAT AGREE
I seldom feel blue., Somewhat Disagree
I am easily disturbed., SOMEWHAT AGREE
I get upset easily., Somewhat Disagree
I change my mood a lot., The persona chooses: SOMEWHAT AGREE
I have frequent mood swings., Somewhat Agree
I get irritated easily., The persona chooses: SOMEWHAT DISAGREE
I often feel blue., Somewhat Agree
I feel little concern for others., SOMEWHAT DISAGREE
I am interested in people., SOMEWHAT AGREE
I insult people., SOMEWHAT DISAGREE
I sympathize with others' feelings., SOMEWHAT AGREE
I am not interested in other people's problems., The persona chooses: SOMEWHAT DISAGREE
I have a soft heart., SOMEWHAT AGREE
I am not really interested in others., Somewhat Disagree
I take time out for others., SOMEWHAT AGREE
I feel others' emotions., Somewhat Agree
I make people feel at ease., SOMEWHAT AGREE
I am always prepared., Somewhat Disagree
I leave my belongings around., Somewhat Disagree
I pay attention to details., Somewhat Agree
I make a mess of things., SOMEWHAT AGREE
I get chores done right away., SOMEWHAT DISAGREE
I often forget to put things back in their proper place., SOMEWHAT AGREE
I like order., The persona chooses: SOMEWHAT AGREE.
I shirk my duties., SOMEWHAT DISAGREE
I follow a schedule., NEUTRAL
I am exacting in my work., The persona chooses: SOMEWHAT AGREE
I have a rich vocabulary., Somewhat Agree
I have difficulty understanding abstract ideas., The persona chooses: SOMEWHAT AGREE
I have a vivid imagination., SOMEWHAT AGREE
I am not interested in abstract ideas., The persona chooses: SOMEWHAT DISAGREE
I have excellent ideas., SOMEWHAT AGREE
I do not have a good imagination., Somewhat Disagree
I am quick to understand things., The persona chooses: SOMEWHAT AGREE
I use difficult words., Somewhat Agree
I spend time reflecting on things., The persona chooses: SOMEWHAT AGREE.
I am full of ideas., Somewhat Agree
