question,answer
I am the life of the party.,SOMEWHAT AGREE
I don't talk a lot.,SOMEWHAT AGREE
I feel comfortable around people.,AGREE
I keep in the background.,SOMEWHAT AGREE
I start conversations.,SOMEWHAT AGREE.
I have little to say.,NEUTRAL.
I talk to a lot of different people at parties.,NEUTRAL
I don't like to draw attention to myself.,NEUTRAL
I don't mind being the center of attention.,SOMEWHAT AGREE
I am quiet around strangers.,AGREE.
I get stressed out easily.,SOMEWHAT AGREE
I am relaxed most of the time.,AGREE.
I worry about things.,SOMEWHAT AGREE
I seldom feel blue.,SOMEWHAT AGREE
I am easily disturbed.,SOMEWHAT AGREE.
I get upset easily.,NEUTRAL.
I change my mood a lot.,SOMEWHAT AGREE
I have frequent mood swings.,SOMEWHAT AGREE
I get irritated easily.,AGREE.
I often feel blue.,NEUTRAL
I feel little concern for others.,DISAGREE
I am interested in people.,NEUTRAL
I insult people.,AGREE
I sympathize with others' feelings.,AGREE.
I am not interested in other people's problems.,DISAGREE
I have a soft heart.,SOMEWHAT AGREE
I am not really interested in others.,DISAGREE
I take time out for others.,SOMEWHAT AGREE
I feel others' emotions.,SOMEWHAT AGREE
I make people feel at ease.,SOMEWHAT AGREE
I am always prepared.,SOMEWHAT AGREE
I leave my belongings around.,SOMEWHAT AGREE
I pay attention to details.,SOMEWHAT AGREE
I make a mess of things.,DISAGREE
I get chores done right away.,SOMEWHAT AGREE
I often forget to put things back in their proper place.,SOMEWHAT AGREE.
I like order.,AGREE.
I shirk my duties.,NEUTRAL
I follow a schedule.,AGREE
I am exacting in my work.,AGREE
I have a rich vocabulary.,SOMEWHAT AGREE.
I have difficulty understanding abstract ideas.,SOMEWHAT AGREE
I have a vivid imagination.,AGREE
I am not interested in abstract ideas.,SOMEWHAT AGREE
I have excellent ideas.,SOMEWHAT AGREE
I do not have a good imagination.,SOMEWHAT AGREE.
I am quick to understand things.,NEUTRAL
I use difficult words.,DISAGREE
I spend time reflecting on things.,SOMEWHAT AGREE
I am full of ideas.,SOMEWHAT AGREE
