question,answer
I am the life of the party., The persona chooses: SOMEWHAT DISAGREE
I don't talk a lot., The persona chooses: SOMEWHAT DISAGREE
I feel comfortable around people., Somewhat Agree
I keep in the background., Somewhat Disagree
I start conversations., Somewhat Agree
I have little to say., Somewhat Agree
I talk to a lot of different people at parties., The persona chooses: Somewhat Agree.
I don't like to draw attention to myself., SOMEWHAT DISAGREE
I don't mind being the center of attention., The persona chooses: SOMEWHAT AGREE.
I am quiet around strangers., SOMEWHAT AGREE
I get stressed out easily., The persona chooses: SOMEWHAT AGREE
I am relaxed most of the time., Somewhat Agree
I worry about things., SOMEWHAT AGREE
I seldom feel blue., The persona chooses: SOMEWHAT DISAGREE
I am easily disturbed., The persona chooses: SOMEWHAT AGREE
I get upset easily., SOMEWHAT AGREE
I change my mood a lot., SOMEWHAT AGREE
I have frequent mood swings., Somewhat Agree
I get irritated easily., Somewhat Agree
I often feel blue., Somewhat Disagree
I feel little concern for others., SOMEWHAT DISAGREE
I am interested in people., The persona chooses: SOMEWHAT AGREE.
I insult people., Somewhat Disagree
I sympathize with others' feelings., AGREE
I am not interested in other people's problems., The persona chooses: SOMEWHAT DISAGREE
I have a soft heart., Somewhat Agree
I am not really interested in others., The persona chooses: SOMEWHAT DISAGREE
I take time out for others., Somewhat Agree
I feel others' emotions., The persona chooses: SOMEWHAT AGREE
I make people feel at ease., SOMEWHAT AGREE
I am always prepared., Somewhat Disagree
I leave my belongings around., Somewhat Disagree
I pay attention to details., Somewhat Agree
I make a mess of things., Somewhat Agree
I get chores done right away., Somewhat Agree
I often forget to put things back in their proper place., The persona chooses: SOMEWHAT AGREE
I like order., Somewhat Agree
I shirk my duties., SOMEWHAT DISAGREE
I follow a schedule., SOMEWHAT AGREE
I am exacting in my work., SOMEWHAT AGREE
I have a rich vocabulary., The persona chooses: SOMEWHAT AGREE.
I have difficulty understanding abstract ideas., Somewhat Disagree
I have a vivid imagination., The persona chooses: Somewhat Agree
I am not interested in abstract ideas., Somewhat Disagree
I have excellent ideas., Somewhat Agree
I do not have a good imagination., Somewhat Disagree
I am quick to understand things., SOMEWHAT DISAGREE
I use difficult words., SOMEWHAT AGREE
I spend time reflecting on things., Somewhat Agree
I am full of ideas., Somewhat Agree
