question,answer
I am the life of the party.,SOMEWHAT AGREE
I don't talk a lot.,NEUTRAL
I feel comfortable around people.,DISAGREE
I keep in the background.,DISAGREE
I start conversations.,SOMEWHAT AGREEE
I have little to say.,NEUTRAL
I talk to a lot of different people at parties.,SOMEWHERE BETWEEN AGREE AND SOMWHAHET AGREEE. I have very mixed feelings about this statement hahaha
I don't like to draw attention to myself.,NEUTRAL
I don't mind being the center of attention.,SOMEWHAT AGREEMENT
I am quiet around strangers.,AGREE
I get stressed out easily.,DISAGREE
I am relaxed most of the time.,DISAGREE
I worry about things.,Somewhat Disagree
I seldom feel blue.,NEUTRAL
I am easily disturbed.,NEUTRAL
I get upset easily.,SOMEWHAT DISAGREE
I change my mood a lot.,NEUTRAL
I have frequent mood swings.,NEUTRAL
I get irritated easily.,DISAGREE
I often feel blue.,DISAGREE
I feel little concern for others.,DISAGREE
I am interested in people.,PERSONA IS SOMEWHAT INTERESTED IN PEOPLE
I insult people.,DISAGREE
I sympathize with others' feelings.,SOMEWHAT AGREEE
I am not interested in other people's problems.,NEUTRAL
I have a soft heart.,AGREE
I am not really interested in others.,DISAGREE
I take time out for others.,NEUTRAL
I feel others' emotions.,NEUTRAL
I make people feel at ease.,SOMEWHAT AGREE
I am always prepared.,NEUTRAL
I leave my belongings around.,NEUTRAL
I pay attention to details.,AGREE! 😅
I make a mess of things.,NEUTRAL
I get chores done right away.,Somewhat agree
I often forget to put things back in their proper place.,NEUTRAL
I like order.,AGREE
I shirk my duties.,NEUTRAL
I follow a schedule.,NEUTRAL
I am exacting in my work.,DISAGREE
I have a rich vocabulary.,PERSONA IS UNSURE HOW TO REPLY (NEUTRAL) ABOUT THIS STATEMENT AND ASKS YOU FOR ADVICE ON HOW TO BEST RESPOND. PLEASE FEEL FREE TO GIVE PERSONA SOME TIPS.
I have difficulty understanding abstract ideas.,SOMEWHAT AGREEMENT
I have a vivid imagination.,DISAGREE
I am not interested in abstract ideas.,NEUTRAL
I have excellent ideas.,Agree!
I do not have a good imagination.,SOMEWHAT AGREE
I am quick to understand things.,AGREE
I use difficult words.,DISAGREE
I spend time reflecting on things.,AGREE
I am full of ideas.,AGREE
