question,answer
I am the life of the party.,AGREE
I don't talk a lot.,NEUTRAL
I feel comfortable around people.,AGREE
I keep in the background.,AGREE
I start conversations.,AGREE
I have little to say.,NEUTRAL
I talk to a lot of different people at parties.,AGREE
I don't like to draw attention to myself.,AGREE
I don't mind being the center of attention.,AGREE
I am quiet around strangers.,DISAGREE
I get stressed out easily.,SOMEWHAT AGREE
I am relaxed most of the time.,AGREE
I worry about things.,AGREE
I seldom feel blue.,AGREE
I am easily disturbed.,NEUTRAL
I get upset easily.,SOMEWHAT DISAGREE
I change my mood a lot.,SOMEWHAT AGREE
I have frequent mood swings.,DISAGREE
I get irritated easily.,SOMEWHAT DISAGREE
I often feel blue.,DISAGREE
I feel little concern for others.,SOMEWHAT DISAGREE
I am interested in people.,AGREE
I insult people.,DISAGREE
I sympathize with others' feelings.,AGREE
I am not interested in other people's problems.,DISAGREE
I have a soft heart.,AGREE
I am not really interested in others.,DISAGREE
I take time out for others.,AGREE
I feel others' emotions.,NEUTRAL
I make people feel at ease.,AGREE
I am always prepared.,SOMEWHAT DISAGREE
I leave my belongings around.,AGREE
I pay attention to details.,AGREE
I make a mess of things.,SOMEWHAT DISAGREE
I get chores done right away.,AGREE
I often forget to put things back in their proper place.,DISAGREE
I like order.,AGREE
I shirk my duties.,DISAGREE
I follow a schedule.,AGREE
I am exacting in my work.,AGREE
I have a rich vocabulary.,AGREE
I have difficulty understanding abstract ideas.,DISAGREE
I have a vivid imagination.,AGREE
I am not interested in abstract ideas.,DISAGREE
I have excellent ideas.,AGREE
I do not have a good imagination.,DISAGREE
I am quick to understand things.,AGREE
I use difficult words.,AGREE
I spend time reflecting on things.,AGREE
I am full of ideas.,AGREE
