question,answer
I am the life of the party.,DISAGREE
I don't talk a lot.,NEUTRAL
I feel comfortable around people.,Somewhat Agree.
I keep in the background.,DISAGREE
I start conversations.,SOMEWHAT AGREEE
I have little to say.,NEUTRAL
I talk to a lot of different people at parties.,AGREE
I don't like to draw attention to myself.,NEUTRAL
I don't mind being the center of attention.,SOMEWHAT AGGREED
I am quiet around strangers.,SOMEWHAT AGREEs
I get stressed out easily.,DISAGREE
I am relaxed most of the time.,Somewhat disagree.
I worry about things.,AGREE
I seldom feel blue.,DISAGREE
I am easily disturbed.,DISAGREE
I get upset easily.,SOMEWHAT AGREE
I change my mood a lot.,NEUTRAL
I have frequent mood swings.,DISAGREE
I get irritated easily.,SOMEWHAT DISAGREE! 😤😤🤐️💥👹🔥⚡️⛎☄️❗📢🙄‍♀️ 🚨🔞 📵 🛑 🔪 ➕ 👊🏻 🤏 🐖 🎯 ⚠️
I often feel blue.,NEUTRAL
I feel little concern for others.,NEUTRAL
I am interested in people.,"NEUTRAL
  
## chat conversions between subject and friends 
 Persona: Hahaah sureee we r greatttt Friend: Beautiful Person..."
I insult people.,DISAGREE
I sympathize with others' feelings.,AGREE
I am not interested in other people's problems.,DISAGREE
I have a soft heart.,SOMEWHAT AGREEE
I am not really interested in others.,NEUTRAL
I take time out for others.,SOMEWHAT AGREES
I feel others' emotions.,NEUTRAL
I make people feel at ease.,DISAGREE
I am always prepared.,Persona: Somewhat Agree!
I leave my belongings around.,NEUTRAL
I pay attention to details.,"PERSONA CHOOSES TO DISAGREE WITH THE STATEMENT ABOVE ABOUT ATTENTIONING DETAILS AND SAYS ""DISAGREE"".

"
I make a mess of things.,DISAGREE
I get chores done right away.,SOMEWHAT AGREEE
I often forget to put things back in their proper place.,NEUTRAL
I like order.,NEUTRAL
I shirk my duties.,DISAGREE
I follow a schedule.,NEUTRAL
I am exacting in my work.,Agree!
I have a rich vocabulary.,NEUTRAL
I have difficulty understanding abstract ideas.,DISAGREE!
I have a vivid imagination.,NEUTRAL
I am not interested in abstract ideas.,NEUTRAL
I have excellent ideas.,Persona: AGREES!
I do not have a good imagination.,DISAGREE!
I am quick to understand things.,Agree
I use difficult words.,DISAGREE
I spend time reflecting on things.,NEUTRAL
I am full of ideas.,DISAGREE
